# masse: 1
# raumintervall: 1000
# zeitintervall: 1000
# zeitpunkte: 1000
# raumpunkte: 1000
# ordnung: 1
# Präzision: f64
# Wiederholungen: 1
# Zeitpunkte Änderung: 10 Gesamtmessungen: 1
# Raumpunkte Änderung: 10 Gesamtmessungen: 1
# Ordnung Änderung: 1 Gesamtmessungen: 1000
# Masse Änderung: 10 Gesamtmessungen: 1
# Plotte:
#Masse Ordnung Zeitpunkte Raumpunkte Zeit mittel_abw_betr_num_anal  mittel_betr_anal norm_betr_num

1 1 1000 1000 1000 2.8129839208701437e-7 0.028470478273731684 0.999999999999999 
1 2 1000 1000 1000 8.579459419447156e-7 0.02837641052669019 0.9999999999999996 
1 3 1000 1000 1000 0.0000017044864125815504 0.028369263901340536 0.9999999999999996 
1 4 1000 1000 1000 0.0000027958011811272675 0.02840157698259765 1.0000000000000009 
1 5 1000 1000 1000 0.0000038754249625478794 0.02772813247042539 0.9999999999999991 
1 6 1000 1000 1000 0.00000504806199179618 0.028101342597219334 0.9999999999999989 
1 7 1000 1000 1000 0.0000067439725978097454 0.028127540610532853 0.9999999999999999 
1 8 1000 1000 1000 0.000008983573394768698 0.027952482309786367 0.9999999999999998 
1 9 1000 1000 1000 0.000012054060095978219 0.028760920121107293 0.999999999999998 
1 10 1000 1000 1000 0.000013012291842466643 0.02805513421070782 0.9999999999999997 
1 11 1000 1000 1000 0.00001615305249521224 0.028684879029212764 1.0000000000000009 
1 12 1000 1000 1000 0.000017221671098608576 0.028516085246216263 1.0000000000000022 
1 13 1000 1000 1000 0.000023788893967862068 0.027495861768644544 0.9999999999999997 
1 14 1000 1000 1000 0.00002553249643363354 0.028356922604954992 0.9999999999999996 
1 15 1000 1000 1000 0.00003099716698631561 0.02854994805751285 1.0000000000000002 
1 16 1000 1000 1000 0.00003366162026827528 0.027821813497807407 1.0000000000000009 
1 17 1000 1000 1000 0.00003796240506893077 0.028574663126155083 1.0000000000000013 
1 18 1000 1000 1000 0.00004468769246599554 0.028715410814821908 1.0000000000000009 
1 19 1000 1000 1000 0.00004567550230399296 0.02820372205924261 0.9999999999999988 
1 20 1000 1000 1000 0.00004850839393048649 0.0279883196073519 0.9999999999999991 
1 21 1000 1000 1000 0.00005256673051781157 0.027703418270944927 0.9999999999999987 
1 22 1000 1000 1000 0.000054293139972286044 0.028155566810505676 1.0000000000000002 
1 23 1000 1000 1000 0.00005620029854404289 0.02810820387471011 0.9999999999999989 
1 24 1000 1000 1000 0.00006498619142111716 0.028319750841032217 1.0000000000000009 
1 25 1000 1000 1000 0.00006851439062018931 0.02887011630562271 0.999999999999999 
1 26 1000 1000 1000 0.00006867336406566897 0.028399090061480215 0.9999999999999976 
1 27 1000 1000 1000 0.00007524718245504414 0.027822554653748797 0.9999999999999962 
1 28 1000 1000 1000 0.00008290888379263623 0.028280768972028275 0.9999999999999947 
1 29 1000 1000 1000 0.00008374845821011419 0.028523498524106145 0.9999999999999928 
1 30 1000 1000 1000 0.00008682449757620606 0.02863338574057891 0.9999999999999883 
1 31 1000 1000 1000 0.0000883981610697133 0.02846836419391836 0.9999999999999846 
1 32 1000 1000 1000 0.00009450595499712666 0.02846022967704577 0.999999999999978 
1 33 1000 1000 1000 0.00009390964054934974 0.028136789266772058 0.9999999999999656 
1 34 1000 1000 1000 0.00009484653461947168 0.02788002581720879 0.9999999999999594 
1 35 1000 1000 1000 0.00010041791284975791 0.028197177608828842 0.9999999999999245 
1 36 1000 1000 1000 0.00009972840784790873 0.02784097208989566 0.9999999999998922 
1 37 1000 1000 1000 0.0001044346896213657 0.02832418525995281 0.9999999999998582 
1 38 1000 1000 1000 0.00010353486483912606 0.02836388361597042 0.9999999999998246 
1 39 1000 1000 1000 0.00010577256644691944 0.0279323236573757 0.9999999999997681 
1 40 1000 1000 1000 0.00010582002810903467 0.028453748553276044 0.9999999999996805 
1 41 1000 1000 1000 0.00010929652639946978 0.02888485761085422 0.9999999999995223 
1 42 1000 1000 1000 0.00010792193011211378 0.028144655812523938 0.999999999999366 
1 43 1000 1000 1000 0.00010635752923231503 0.028622061800808087 0.9999999999992338 
1 44 1000 1000 1000 0.00010717657505731461 0.028534799600889064 0.999999999999103 
1 45 1000 1000 1000 0.00010611697534211451 0.02857215717406648 0.9999999999988662 
1 46 1000 1000 1000 0.00010675016382601625 0.028499745433085845 0.999999999998683 
1 47 1000 1000 1000 0.00010532854394570169 0.028314776384403717 0.9999999999983326 
1 48 1000 1000 1000 0.00010468096763332216 0.02839982981616549 0.9999999999978637 
1 49 1000 1000 1000 0.00010430787823163905 0.028320407537317197 0.9999999999973276 
1 50 1000 1000 1000 0.00010440533911193217 0.02830080917774145 0.9999999999969447 
1 51 1000 1000 1000 0.00010360855152271357 0.0280843111592691 0.9999999999951196 
1 52 1000 1000 1000 0.00010359880052805038 0.02789401245304676 0.9999999999928555 
1 53 1000 1000 1000 0.00010306778681138034 0.028045932692652733 0.999999999991115 
1 54 1000 1000 1000 0.00010678025025754223 0.028499901072970645 0.9999999999893178 
1 55 1000 1000 1000 0.00010988655277323087 0.028301859957201983 0.999999999986696 
1 56 1000 1000 1000 0.00011457347125706925 0.02832955023759497 0.9999999999829509 
1 57 1000 1000 1000 0.0001249955725887209 0.02844120843981648 0.999999999976416 
1 58 1000 1000 1000 0.00013367392893467433 0.02824764420318355 0.9999999999698237 
1 59 1000 1000 1000 0.00014650532399074722 0.028552577325939337 0.9999999999646085 
1 60 1000 1000 1000 0.00016106041998230198 0.028753683538471467 0.9999999999587877 
1 61 1000 1000 1000 0.00016352955205032888 0.02840842515440139 0.9999999999553517 
