# masse: 1
# raumintervall: 10000000000000000000
# zeitintervall: 1e+35
# zeitpunkte: 100
# raumpunkte: 1000
# ordnung: 50
# Präzision: f64
# Wiederholungen: 1
# Zeitpunkte Änderung: 100 Gesamtmessungen: 10
# Raumpunkte Änderung: 1 Gesamtmessungen: 0
# Ordnung Änderung: 20 Gesamtmessungen: 1
# Masse Änderung: 1 Gesamtmessungen: 1
# Plotte:
#Masse Ordnung Zeitpunkte Raumpunkte Zeit mittel_abw_betr_num_anal  mittel_betr_anal norm_betr_num

1 50 100 1000 9.999999999999978e+34 NaN 2.8300809177741376e-10 NaN 
1 50 200 1000 1e+35 NaN 2.8300809177741397e-10 NaN 
1 50 300 1000 9.99999999999997e+34 NaN 2.8300809177741366e-10 NaN 
1 50 400 1000 1.0000000000000072e+35 NaN 2.8300809177741417e-10 NaN 
1 50 500 1000 9.999999999999965e+34 NaN 2.8300809177741366e-10 NaN 
1 50 600 1000 1.0000000000000057e+35 1.3208834137313303e+249 2.830080917774141e-10 Infinity 
1 50 700 1000 1.0000000000000018e+35 1.594165777721358e-8 2.8300809177741407e-10 3933.3958197471215 
1 50 800 1000 9.999999999999983e+34 2.1578927702094253e-12 2.8300809177741366e-10 0.9999999999907833 
1 50 900 1000 9.999999999999762e+34 2.1578926515441105e-12 2.830080917774145e-10 0.9999999999948859 
1 50 1000 1000 1.0000000000000118e+35 2.1578925837986694e-12 2.8300809177741417e-10 0.9999999999969779 
