# masse: 1
# raumintervall: 1000
# zeitintervall: 1000
# zeitpunkte: 49
# raumpunkte: 50
# ordnung: 50
# Präzision: f64
# Wiederholungen: 1
# Zeitpunkte Änderung: 50 Gesamtmessungen: 40
# Raumpunkte Änderung: 50 Gesamtmessungen: 40
# Ordnung Änderung: 1 Gesamtmessungen: 1
# Masse Änderung: 1 Gesamtmessungen: 1
# Plotte:
#Masse Ordnung Zeitpunkte Raumpunkte Zeit mittel_abw_betr_num_anal  mittel_betr_anal norm_betr_num

1 50 49 50 1000.0000000000007 0.027725896890717933 0.027663284990892018 1.002972957080354 
1 50 49 100 1000.0000000000007 0.017607276758114732 0.028266285920450912 0.9999965375844345 
1 50 49 150 1000.0000000000007 0.009135157797580668 0.028264135255594864 0.9999934773282141 
1 50 49 200 1000.0000000000007 0.005306451268758807 0.028290079183293116 0.9999918771007412 
1 50 49 250 1000.0000000000007 0.003431915555106471 0.028287988513230406 0.9999910138082877 
1 50 49 300 1000.0000000000007 38938183530268080 0.028290908941485057 2.8237225086226397e+36 
1 50 49 350 1000.0000000000007 8.918774995319973e+47 0.028290458780947766 1.6102681427407663e+99 
1 50 49 400 1000.0000000000007 1.8069389316290678e+72 0.028288209753839538 4.701354544694648e+147 
1 50 49 450 1000.0000000000007 3.59341746561169e+93 0.02829462490594037 2.916083891032516e+190 
1 50 49 500 1000.0000000000007 1.837639861405256e+112 0.028297418801552662 6.5227787099953e+227 
1 50 49 550 1000.0000000000007 2.615968138338915e+128 0.02829969911517137 1.318619077505018e+260 
1 50 49 600 1000.0000000000007 3.533240082770484e+143 0.02830022045775321 2.2898097793460454e+290 
1 50 49 650 1000.0000000000007 3.803471913269655e+157 0.02829984453803961 Infinity 
1 50 49 700 1000.0000000000007 1.3841276935658938e+170 0.028299559752877557 Infinity 
1 50 49 750 1000.0000000000007 4.425398397116934e+181 0.028298564400633688 Infinity 
1 50 49 800 1000.0000000000007 5.136117807092599e+192 0.02829911784999352 Infinity 
1 50 49 850 1000.0000000000007 1.643106101966253e+203 0.028300071847057354 Infinity 
1 50 49 900 1000.0000000000007 1.972184496972154e+213 0.02830061219933609 Infinity 
1 50 49 950 1000.0000000000007 1.7003537102452553e+222 0.028300917323391593 Infinity 
1 50 49 1000 1000.0000000000007 9.152912278681597e+230 0.02830080917774144 Infinity 
1 50 49 1050 1000.0000000000007 1.7892026513479753e+239 0.028300657100309767 Infinity 
1 50 49 1100 1000.0000000000007 1.554916948667681e+247 0.02830031691488231 Infinity 
1 50 49 1150 1000.0000000000007 1.1277857139464342e+255 0.02830026030658655 Infinity 
1 50 49 1200 1000.0000000000007 1.0832529341457068e+262 0.028300712752432653 Infinity 
1 50 49 1250 1000.0000000000007 9.331973075751973e+268 0.028301002321493303 Infinity 
1 50 49 1300 1000.0000000000007 3.313091949094455e+275 0.028301174655604697 Infinity 
1 50 49 1350 1000.0000000000007 9.387328507590791e+281 0.02830117158721467 Infinity 
1 50 49 1400 1000.0000000000007 3.49372490632647e+288 0.028301075551297256 Infinity 
1 50 49 1450 1000.0000000000007 1.750272375774738e+294 0.028300912978295387 Infinity 
1 50 49 1500 1000.0000000000007 1.0332229530410946e+300 0.028300795003433923 Infinity 
1 50 49 1550 1000.0000000000007 Infinity 0.028300976101183244 Infinity 
1 50 49 1600 1000.0000000000007 NaN 0.028301161875801336 NaN 
1 50 49 1650 1000.0000000000007 NaN 0.028301272150498925 NaN 
1 50 49 1700 1000.0000000000007 NaN 0.02830129854606557 NaN 
1 50 49 1750 1000.0000000000007 NaN 0.028301251867071286 NaN 
1 50 49 1800 1000.0000000000007 NaN 0.02830116282548225 NaN 
1 50 49 1850 1000.0000000000007 NaN 0.02830107386367989 NaN 
